orth;seqname;start;end;strand
ASTE007068;scaffold_00001;9050;9208;+
NA;NA;NA;NA;NA
ASTE007074;scaffold_00001;45991;46296;+
ASTE007075;scaffold_00001;60508;60889;-
ASTE007086;scaffold_00001;200729;200956;-
ASTE007065;scaffold_00001;1352;1419;-
NA;NA;NA;NA;NA
ASTE007046;scaffold_00096;113447;113514;+
ASTE007049;scaffold_00096;96049;96054;-
ASTE007050;scaffold_00096;84617;84675;-
ASTE007051;scaffold_00096;79404;79497;-
ASTE007045;scaffold_00096;124629;124646;-
ASTE007047;scaffold_00096;112082;112107;-
ASTE007056;scaffold_00096;37175;37433;+
NA;NA;NA;NA;NA
ASTE007066;scaffold_00001;3059;3256;+
ASTE007054;scaffold_00096;42866;42981;+
ASTE007058;scaffold_00096;32837;32858;+
NA;NA;NA;NA;NA
ASTE007061;scaffold_00096;16000;16192;+
ASTE007063;scaffold_00096;2777;2961;+
ASTE007057;scaffold_00096;36358;36387;-
ASTE007059;scaffold_00096;31553;31821;-
ASTE007067;scaffold_00001;8219;8338;-
ASTE007062;scaffold_00096;10131;10261;+
ASTE007071;scaffold_00001;15672;15699;-
ASTE007070;scaffold_00001;11837;11915;+
ASTE007081;scaffold_00001;190337;190366;+
ASTE007083;scaffold_00001;193748;193938;+
ASTE007085;scaffold_00001;193748;193938;+
ASTE007080;scaffold_00001;189570;189772;-
ASTE007082;scaffold_00001;192828;192842;-
ASTE007084;scaffold_00001;193748;193938;+
ASTE007087;scaffold_00001;226839;227225;-
ASTE007060;scaffold_00096;29383;29553;-
NA;NA;NA;NA;NA
ASTE007073;scaffold_00001;43100;43286;-
ASTE007076;scaffold_00001;60508;60889;-
ASTE007079;scaffold_00001;174539;175826;+
ASTE007078;scaffold_00001;165821;166562;-
ASTE014790;scaffold_00096;29383;29553;-
ASTE001219;scaffold_00045;90656;90658;-
ASTE001221;scaffold_00045;101690;102079;-
ASTE001230;scaffold_00045;130855;131676;-
ASTE001232;scaffold_00045;137494;138360;+
ASTE001236;scaffold_00045;200162;200173;+
ASTE001225;scaffold_00045;121034;121113;+
ASTE001252;scaffold_00045;356091;356237;+
ASTE001251;scaffold_00045;353846;353952;-
ASTE001235;scaffold_00045;176179;176325;+
NA;NA;NA;NA;NA
ASTE001242;scaffold_00045;249622;249667;-
ASTE001220;scaffold_00045;100171;100290;+
ASTE001233;scaffold_00045;149683;149694;+
ASTE001229;scaffold_00045;129362;129495;+
ASTE001231;scaffold_00045;133245;133364;+
ASTE001223;scaffold_00045;113106;113256;-
ASTE001224;scaffold_00045;120411;120547;-
ASTE001226;scaffold_00045;123805;123841;-
ASTE001222;scaffold_00045;102272;102308;+
ASTE001228;scaffold_00045;128558;128635;-
ASTE001245;scaffold_00045;293527;293808;-
ASTE001238;scaffold_00731;621;1033;+
ASTE001243;scaffold_00045;271940;272140;-
ASTE001249;scaffold_00045;339744;339852;+
ASTE001246;scaffold_00045;302561;302877;-
ASTE001234;scaffold_00045;167591;167614;+
ASTE001227;scaffold_00045;125513;125617;-
ASTE001244;scaffold_00045;276081;276821;+
NA;NA;NA;NA;NA
ASTE001240;scaffold_00045;241668;241694;-
ASTE001241;scaffold_00045;243392;243510;-
ASTE001247;scaffold_00045;315605;315849;+
ASTE001248;scaffold_00045;328697;328708;+
ASTE001250;scaffold_00045;351567;351581;-
ASTE014126;scaffold_00045;102272;102308;+
ASTE014127;scaffold_00045;276081;276821;+
ASTE007572;scaffold_00007;2372737;2375640;+
ASTE007574;scaffold_00007;2367451;2368242;-
NA;NA;NA;NA;NA
ASTE007563;scaffold_00007;2596939;2597146;+
ASTE007571;scaffold_00007;2376953;2377105;-
ASTE007573;scaffold_00007;2370847;2371546;-
ASTE007578;scaffold_00007;2321189;2321258;+
ASTE007576;scaffold_00007;2350761;2350881;+
ASTE007566;scaffold_00007;2481896;2482061;-
ASTE007565;scaffold_00007;2500185;2500191;-
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
ASTE007570;scaffold_00007;2388335;2388349;+
NA;NA;NA;NA;NA
ASTE007577;scaffold_00007;2321189;2321258;+
ASTE014856;scaffold_00007;2627820;2627930;-
ASTE014857;scaffold_00007;2338823;2339086;+
ASTE014858;scaffold_00007;2309314;2309386;+
ASTE001440;scaffold_00001;3594403;3594931;+
ASTE001442;scaffold_00001;3593994;3594176;-
ASTE001448;scaffold_00001;3562876;3563466;+
ASTE001437;scaffold_00001;3619494;3619772;-
ASTE001438;scaffold_00001;3603168;3605894;-
ASTE001453;scaffold_00001;3488156;3488173;+
ASTE001459;scaffold_00001;3242323;3242350;+
ASTE001443;scaffold_00001;3588281;3590470;+
ASTE001456;scaffold_00001;3304297;3304312;-
ASTE001450;scaffold_00001;3544269;3544520;-
ASTE001439;scaffold_00001;3598467;3598542;+
ASTE001449;scaffold_00001;3549847;3549985;-
ASTE001441;scaffold_00001;3594403;3594931;+
ASTE001451;scaffold_00001;3525649;3525934;+
ASTE001444;scaffold_00001;3584571;3585123;-
ASTE001454;scaffold_00001;3483001;3484308;+
ASTE001452;scaffold_00001;3488156;3488173;+
ASTE001457;scaffold_00001;3287302;3287306;-
ASTE001458;scaffold_00001;3267678;3267877;-
ASTE001460;scaffold_00001;3228417;3228836;-
ASTE001462;scaffold_00001;3222944;3223168;+
ASTE001447;scaffold_00001;3562876;3563466;+
NA;NA;NA;NA;NA
ASTE001446;scaffold_00001;3565468;3565821;+
ASTE001455;scaffold_00001;3353372;3353797;+
ASTE001461;scaffold_00001;3222944;3223168;+
ASTE014150;scaffold_00001;3581387;3581505;-
NA;NA;NA;NA;NA
ASTE008560;scaffold_00091;552174;553061;-
ASTE008562;scaffold_00091;461429;461683;-
ASTE008564;scaffold_00091;357366;357556;-
ASTE008561;scaffold_00091;461429;461683;-
ASTE008563;scaffold_00091;362339;362538;+
NA;NA;NA;NA;NA
ASTE014971;scaffold_00091;554282;554977;+
ASTE000234;scaffold_00009;1534276;1538199;-
ASTE000235;scaffold_00009;1427112;1427156;+
ASTE000236;scaffold_00009;1331964;1332027;-
ASTE007915;scaffold_00002;2650031;2650118;+
NA;NA;NA;NA;NA
ASTE007919;scaffold_00002;2736687;2736731;-
ASTE007918;scaffold_00002;2726821;2726831;-
ASTE007911;scaffold_00002;2639857;2639878;-
ASTE007912;scaffold_00002;2643059;2643077;-
ASTE007909;scaffold_00002;2632684;2632875;-
ASTE007910;scaffold_00002;2633404;2633513;+
ASTE007913;scaffold_00002;2643879;2644159;+
ASTE007917;scaffold_00002;2707614;2708739;+
ASTE007920;scaffold_00002;2764269;2764768;-
ASTE007923;scaffold_00002;2851646;2851835;+
ASTE007927;scaffold_00002;2871706;2871739;+
ASTE007924;scaffold_00002;2853524;2853667;-
ASTE007926;scaffold_00002;2869745;2869900;-
NA;NA;NA;NA;NA
ASTE007908;scaffold_00002;2621126;2621177;+
ASTE007922;scaffold_00002;2832184;2832386;+
ASTE007921;scaffold_00002;2825609;2825764;-
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
ASTE002907;scaffold_00073;362409;362436;-
ASTE002831;scaffold_00046;923715;925364;+
ASTE002910;scaffold_00073;400670;401717;-
ASTE002836;scaffold_00046;996210;996905;+
ASTE002916;scaffold_00073;575583;575597;-
ASTE002826;scaffold_00046;910779;911156;-
ASTE002828;scaffold_00046;916533;918164;-
ASTE002830;scaffold_00046;921910;923478;-
ASTE002841;scaffold_00046;1029384;1029584;+
ASTE002859;scaffold_00046;1227927;1229366;-
ASTE002856;scaffold_00046;1179662;1180150;-
ASTE002862;scaffold_00046;1233581;1233829;+
ASTE002869;scaffold_00046;1331023;1331319;-
ASTE002884;scaffold_00073;142827;143834;+
ASTE002885;scaffold_00073;161138;161549;+
ASTE002895;scaffold_00073;220003;220908;+
ASTE002891;scaffold_00073;203174;203935;+
ASTE002820;scaffold_00046;891139;891214;-
ASTE002825;scaffold_00046;907993;908080;+
ASTE002824;scaffold_00046;907650;907685;-
ASTE002906;scaffold_00073;336370;336432;-
ASTE002904;scaffold_00073;327264;327291;+
ASTE002903;scaffold_00073;324786;325200;-
ASTE002909;scaffold_00073;400670;401717;-
ASTE002827;scaffold_00046;914958;915536;-
ASTE002829;scaffold_00046;918517;918540;+
ASTE002918;scaffold_00073;753386;753457;+
NA;NA;NA;NA;NA
ASTE002919;scaffold_00073;769999;770189;+
ASTE002920;scaffold_00073;822520;822577;+
ASTE002921;scaffold_00073;840014;840404;+
ASTE002923;scaffold_00073;855834;856556;+
ASTE002924;scaffold_00073;858353;858718;-
ASTE002922;scaffold_00073;849899;850221;-
ASTE015894;scaffold_00079;562461;563219;-
ASTE002838;scaffold_00046;1013910;1014024;+
ASTE002840;scaffold_00046;1022138;1022208;+
ASTE002839;scaffold_00046;1021610;1021656;-
ASTE002845;scaffold_00046;1143496;1143779;-
ASTE002843;scaffold_00046;1104651;1104828;+
ASTE002857;scaffold_00046;1199781;1199811;+
ASTE002860;scaffold_00046;1230081;1230154;+
ASTE002851;scaffold_00046;1158639;1160089;+
ASTE002861;scaffold_00046;1232752;1233048;-
ASTE002855;scaffold_00046;1177128;1177602;+
ASTE002854;scaffold_00046;1176089;1176241;-
ASTE002858;scaffold_00046;1221639;1221865;-
ASTE002850;scaffold_00046;1156265;1157049;+
ASTE002874;scaffold_00073;20578;20602;+
ASTE002877;scaffold_00073;39553;39570;+
ASTE002879;scaffold_00073;44223;44361;+
NA;NA;NA;NA;NA
ASTE002873;scaffold_00073;19669;19801;-
ASTE002876;scaffold_00073;38501;38518;-
ASTE002883;scaffold_00073;106261;106523;-
ASTE002880;scaffold_00073;56447;56577;+
ASTE002888;scaffold_00073;161138;161549;+
ASTE002889;scaffold_00073;161138;161549;+
ASTE002887;scaffold_00073;161138;161549;+
ASTE002896;scaffold_00073;222744;222852;-
ASTE002892;scaffold_00073;204791;205982;-
ASTE002894;scaffold_00073;210628;210802;-
NA;NA;NA;NA;NA
ASTE002893;scaffold_00073;207182;207277;+
ASTE002822;scaffold_00046;892924;893022;+
NA;NA;NA;NA;NA
ASTE002821;scaffold_00046;891139;891214;-
ASTE002902;scaffold_00073;314110;314140;+
ASTE002905;scaffold_00073;329855;330134;+
ASTE002900;scaffold_00073;274883;277564;-
ASTE002901;scaffold_00073;313061;313073;-
ASTE002913;scaffold_00073;437009;437080;+
ASTE002908;scaffold_00073;387073;387593;+
NA;NA;NA;NA;NA
ASTE002912;scaffold_00073;433846;434281;-
ASTE002915;scaffold_00073;462232;462250;-
ASTE002833;scaffold_00046;927411;927762;-
ASTE002832;scaffold_00046;925988;925993;-
ASTE002834;scaffold_00278;11896;11905;+
ASTE015884;scaffold_00041;1124343;1125263;+
ASTE002842;scaffold_00046;1040757;1041353;-
ASTE002844;scaffold_00046;1120173;1120427;+
ASTE002853;scaffold_00046;1173546;1173851;+
ASTE002848;scaffold_00046;1150847;1152172;-
ASTE002852;scaffold_00046;1170548;1170669;-
ASTE002847;scaffold_00046;1147013;1147197;+
ASTE002864;scaffold_00046;1248212;1248563;+
ASTE002865;scaffold_00046;1248212;1248563;+
ASTE002866;scaffold_00046;1248212;1248563;+
ASTE002867;scaffold_00046;1301585;1301726;+
ASTE002868;scaffold_00046;1311743;1312993;+
ASTE002872;scaffold_00073;6068;6307;+
ASTE002875;scaffold_00073;27394;28319;-
ASTE002878;scaffold_00073;43506;43749;-
ASTE002881;scaffold_00073;71582;71620;-
ASTE002882;scaffold_00073;78973;79399;-
ASTE002886;scaffold_00073;161138;161549;+
ASTE002899;scaffold_00073;268269;268306;-
ASTE002819;scaffold_00046;891139;891214;-
ASTE002914;scaffold_00073;449297;449352;-
ASTE002835;scaffold_00046;958946;959240;-
ASTE002837;scaffold_00046;996210;996905;+
ASTE002917;scaffold_00073;652689;652902;-
ASTE002846;scaffold_00046;1144439;1144774;-
ASTE002849;scaffold_00046;1150847;1152172;-
ASTE002863;scaffold_00046;1241885;1242142;+
ASTE002871;scaffold_00046;1363845;1363929;+
NA;NA;NA;NA;NA
ASTE002897;scaffold_00073;230670;230887;-
ASTE014320;scaffold_00046;1025652;1025849;+
ASTE014321;scaffold_00046;1043437;1043578;+
ASTE014318;scaffold_00046;1009351;1009422;-
ASTE014319;scaffold_00046;1022093;1022208;+
ASTE014322;scaffold_00046;1294673;1295488;+
ASTE014323;scaffold_00046;1307552;1307746;+
ASTE014324;scaffold_00046;1311743;1312993;+
NA;NA;NA;NA;NA
ASTE014325;scaffold_00073;218601;218743;-
ASTE014326;scaffold_00073;225032;225356;-
ASTE014328;scaffold_00073;273339;274535;-
ASTE014329;scaffold_00073;753386;753457;+
ASTE014330;scaffold_00073;859317;859634;-
ASTE003158;scaffold_00019;439268;440260;-
ASTE003170;scaffold_00019;320811;321236;+
ASTE003159;scaffold_00019;433414;433423;-
ASTE003162;scaffold_00019;409985;410008;+
ASTE003157;scaffold_00019;454905;455298;+
ASTE003165;scaffold_00019;362916;363115;+
ASTE003167;scaffold_00019;357391;360362;-
ASTE003171;scaffold_00019;318365;319619;-
ASTE003172;scaffold_00019;314032;314831;-
ASTE003166;scaffold_00019;362916;363115;+
ASTE003169;scaffold_00019;323712;323760;+
ASTE003174;scaffold_00019;301254;301332;-
NA;NA;NA;NA;NA
ASTE003176;scaffold_00019;282569;282669;+
NA;NA;NA;NA;NA
ASTE003185;scaffold_00019;135888;136585;+
ASTE003181;scaffold_00019;196659;199330;+
ASTE003184;scaffold_00019;152744;152752;+
ASTE003186;scaffold_00019;131100;131328;-
ASTE003183;scaffold_00019;167040;167224;-
ASTE003156;scaffold_00019;518944;518980;-
ASTE003160;scaffold_00019;433414;433423;-
ASTE003161;scaffold_00019;424498;424523;-
ASTE003173;scaffold_00019;308220;308406;+
ASTE003164;scaffold_00019;365972;366412;+
NA;NA;NA;NA;NA
ASTE003177;scaffold_00019;266403;266485;+
ASTE003168;scaffold_00019;323712;323760;+
ASTE003163;scaffold_00019;373731;375506;+
ASTE003178;scaffold_00019;257533;259761;+
ASTE003182;scaffold_00019;196659;199330;+
ASTE014351;scaffold_00019;365972;366412;+
ASTE014352;scaffold_00019;254788;254861;-
ASTE014353;scaffold_00019;229875;230441;-
ASTE014354;scaffold_00019;152744;152752;+
ASTE008185;scaffold_00085;32770;32801;+
ASTE008188;scaffold_00085;104307;104375;-
ASTE008201;scaffold_00085;170030;170126;+
ASTE008206;scaffold_00085;183111;183550;-
ASTE008203;scaffold_00085;174311;174360;+
ASTE008200;scaffold_00085;168918;169041;-
ASTE008196;scaffold_00085;151880;152030;+
ASTE008202;scaffold_00085;172627;172923;-
ASTE008199;scaffold_00085;158979;159034;+
ASTE008204;scaffold_00085;177242;178327;+
ASTE008191;scaffold_00085;143148;143219;-
ASTE008193;scaffold_00085;143148;143219;-
ASTE008189;scaffold_00085;110510;111184;+
ASTE008194;scaffold_00085;143148;143219;-
ASTE008198;scaffold_00085;156652;156878;-
ASTE008213;scaffold_00085;356326;356346;-
ASTE008210;scaffold_00085;323034;323526;+
ASTE008184;scaffold_00085;27708;27931;+
ASTE008186;scaffold_00085;61294;61493;+
ASTE008208;scaffold_00085;191360;191653;+
ASTE008190;scaffold_00085;143148;143219;-
ASTE008195;scaffold_00085;150414;150735;-
ASTE008192;scaffold_00085;143148;143219;-
ASTE008197;scaffold_00085;151880;152030;+
ASTE008214;scaffold_00085;385349;385427;+
ASTE008211;scaffold_00085;329588;329612;-
ASTE008209;scaffold_00085;198790;199119;+
ASTE008207;scaffold_00085;191360;191653;+
ASTE008215;scaffold_00085;394436;394459;-
ASTE008187;scaffold_00085;90882;92469;+
ASTE008205;scaffold_00085;181134;181787;+
ASTE008212;scaffold_00085;343672;343852;-
ASTE014940;scaffold_00085;176974;177082;-
ASTE003004;scaffold_00035;1550713;1550763;+
ASTE002996;scaffold_00035;1469719;1469919;+
ASTE003012;scaffold_00035;1670000;1671601;+
ASTE002993;scaffold_00035;1425016;1425024;+
ASTE003000;scaffold_00035;1508009;1508080;+
ASTE003002;scaffold_00035;1517390;1517466;+
ASTE003003;scaffold_00035;1541066;1541146;+
ASTE002998;scaffold_00035;1503865;1503871;-
ASTE002999;scaffold_00035;1507411;1507480;-
ASTE003001;scaffold_00035;1515190;1515228;-
ASTE003010;scaffold_00035;1667389;1667647;-
ASTE003013;scaffold_00035;1676357;1676497;-
ASTE003007;scaffold_00035;1606877;1606945;+
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
ASTE003011;scaffold_00035;1668752;1668815;+
ASTE003015;scaffold_00035;1693440;1693487;+
NA;NA;NA;NA;NA
ASTE003026;scaffold_00035;1811316;1811472;-
ASTE003021;scaffold_00035;1772180;1772345;+
ASTE003022;scaffold_00035;1782078;1782203;+
ASTE003023;scaffold_00035;1794934;1794985;+
ASTE003025;scaffold_00035;1807836;1808625;+
ASTE003027;scaffold_00035;1811941;1811987;+
ASTE003014;scaffold_00035;1687657;1687775;-
ASTE002995;scaffold_00035;1469719;1469919;+
ASTE003005;scaffold_00035;1558761;1558889;+
NA;NA;NA;NA;NA
ASTE003020;scaffold_00035;1770166;1770420;-
ASTE003024;scaffold_00035;1805615;1807501;-
NA;NA;NA;NA;NA
ASTE003018;scaffold_00035;1749623;1749711;+
NA;NA;NA;NA;NA
ASTE003006;scaffold_00035;1590046;1590059;+
ASTE003019;scaffold_00035;1760301;1760451;+
ASTE014335;scaffold_00035;1425016;1425024;+
ASTE005595;scaffold_00007;1039147;1039740;-
ASTE005600;scaffold_00007;1074834;1075727;-
ASTE005594;scaffold_00007;916469;916515;-
ASTE005602;scaffold_00007;1081209;1081535;-
NA;NA;NA;NA;NA
ASTE005599;scaffold_00007;1073326;1074255;+
ASTE005601;scaffold_00007;1076749;1076858;+
ASTE005597;scaffold_00007;1069787;1069883;-
ASTE005598;scaffold_00007;1072577;1072679;-
NA;NA;NA;NA;NA
ASTE005607;scaffold_00007;1082942;1083148;+
ASTE005606;scaffold_00007;1082942;1083148;+
ASTE005604;scaffold_00007;1082942;1083148;+
ASTE005603;scaffold_00007;1082942;1083148;+
ASTE014632;scaffold_00007;1177367;1177456;+
ASTE002127;scaffold_00041;1406399;1406683;+
ASTE002143;scaffold_00041;1533871;1534471;+
ASTE002133;scaffold_00041;1430181;1430199;-
ASTE002142;scaffold_00041;1532063;1533088;+
ASTE002118;scaffold_00041;1284490;1284499;+
ASTE002131;scaffold_00041;1459919;1459987;-
ASTE002117;scaffold_00041;1282145;1282277;-
ASTE002120;scaffold_00041;1369145;1369212;-
ASTE002121;scaffold_00041;1370188;1371360;+
ASTE002130;scaffold_00041;1459919;1459987;-
ASTE002124;scaffold_00041;1392801;1393014;-
ASTE002123;scaffold_00041;1391065;1391223;+
ASTE002129;scaffold_00041;1481195;1481215;-
ASTE002125;scaffold_00041;1394912;1395319;-
ASTE002126;scaffold_00041;1401676;1401806;-
ASTE002128;scaffold_00041;1411270;1411278;-
ASTE002122;scaffold_00041;1380034;1380127;+
ASTE002136;scaffold_00041;1513433;1514546;+
ASTE002137;scaffold_00041;1516093;1516758;+
ASTE002135;scaffold_00041;1502076;1502294;+
ASTE002140;scaffold_00041;1530632;1530690;-
ASTE002134;scaffold_00041;1421878;1421895;+
ASTE002138;scaffold_00041;1518470;1518568;-
ASTE002144;scaffold_00041;1554678;1554788;-
ASTE002119;scaffold_00041;1284490;1284499;+
ASTE002139;scaffold_00041;1522620;1523078;-
ASTE002141;scaffold_00041;1530632;1530690;-
ASTE002132;scaffold_00041;1459919;1459987;-
NA;NA;NA;NA;NA
ASTE014229;scaffold_00041;1336235;1336278;-
ASTE014230;scaffold_00041;1341166;1341337;-
ASTE014231;scaffold_00041;1360669;1360746;-
ASTE014232;scaffold_00041;1362253;1362542;-
ASTE014233;scaffold_00041;1397043;1397102;-
ASTE014234;scaffold_00041;1556979;1557140;+
ASTE002020;scaffold_00009;1118224;1119162;+
ASTE002022;scaffold_00009;1099809;1099816;+
ASTE002023;scaffold_00009;1084511;1084564;+
ASTE002030;scaffold_00009;1045113;1045844;-
ASTE002028;scaffold_00009;1069536;1074662;-
ASTE002029;scaffold_00009;1053213;1053758;-
ASTE002042;scaffold_00009;805110;805115;+
ASTE002018;scaffold_00009;1120664;1121227;+
ASTE002017;scaffold_00009;1120664;1121227;+
ASTE002019;scaffold_00009;1116877;1117896;-
ASTE002025;scaffold_00009;1078877;1079291;+
ASTE002021;scaffold_00009;1114418;1114516;+
ASTE002024;scaffold_00009;1084511;1084564;+
ASTE002026;scaffold_00009;1078877;1079291;+
ASTE002027;scaffold_00009;1075736;1075859;+
ASTE002016;scaffold_00009;1138940;1139120;-
ASTE002033;scaffold_00009;1010303;1010405;+
ASTE002040;scaffold_00009;831473;831631;-
ASTE002041;scaffold_00009;831473;831631;-
ASTE002038;scaffold_00009;915365;915379;-
ASTE002039;scaffold_00009;873323;873531;-
ASTE002034;scaffold_00009;941524;941601;+
ASTE002035;scaffold_00009;935070;935196;+
ASTE002037;scaffold_00009;919829;919954;+
ASTE002031;scaffold_00009;1035062;1035160;-
ASTE002032;scaffold_00009;1019441;1019694;-
ASTE002036;scaffold_00009;928995;929310;+
ASTE014214;scaffold_00009;1105003;1105066;+
ASTE014216;scaffold_00009;912834;913081;-
ASTE014215;scaffold_00009;933541;933604;+
ASTE004075;scaffold_00046;317039;317264;+
NA;NA;NA;NA;NA
ASTE004083;scaffold_00046;67812;68196;-
ASTE004076;scaffold_00046;263363;263379;+
ASTE004078;scaffold_00046;134985;135425;+
ASTE004088;scaffold_00046;3988;4210;-
ASTE004077;scaffold_00046;134985;135425;+
ASTE004079;scaffold_00046;98278;98288;+
ASTE004081;scaffold_00046;95430;95560;+
ASTE004084;scaffold_00046;61713;62032;+
ASTE015949;scaffold_00002;1519204;1520769;-
ASTE004085;scaffold_00046;45826;45936;+
ASTE004080;scaffold_00046;96313;97720;-
ASTE004086;scaffold_00046;37182;37453;+
ASTE004087;scaffold_00046;31473;31679;+
ASTE014450;scaffold_00046;250360;250610;+
NA;NA;NA;NA;NA
ASTE014451;scaffold_00046;119055;119126;+
ASTE014452;scaffold_00046;109922;110308;+
ASTE005788;scaffold_00115;304071;304995;-
ASTE005793;scaffold_00115;188060;188069;-
ASTE005790;scaffold_00115;204570;204841;+
ASTE005789;scaffold_00115;214021;216414;-
ASTE005795;scaffold_00115;150850;150853;+
ASTE005784;scaffold_00115;372013;372316;+
ASTE005794;scaffold_00115;178885;178911;+
ASTE005792;scaffold_00115;189516;189686;+
ASTE005797;scaffold_00115;78570;78939;+
NA;NA;NA;NA;NA
ASTE005791;scaffold_00115;202216;202601;-
ASTE005783;scaffold_00115;383820;384138;-
ASTE005785;scaffold_00115;339933;340136;-
ASTE005786;scaffold_00115;334571;335148;+
ASTE005796;scaffold_00115;97359;97595;+
NA;NA;NA;NA;NA
ASTE010987;scaffold_00007;3909212;3909314;-
ASTE010985;scaffold_00007;3857231;3857807;+
NA;NA;NA;NA;NA
ASTE010988;scaffold_00007;4006772;4006786;-
NA;NA;NA;NA;NA
ASTE010990;scaffold_00007;4011771;4012069;+
ASTE010989;scaffold_00007;4007763;4009814;+
ASTE015215;scaffold_00007;3848192;3848272;+
ASTE015216;scaffold_00007;3855865;3856240;+
ASTE006065;scaffold_00004;5044749;5045756;+
ASTE006066;scaffold_00004;5035933;5035957;+
ASTE006074;scaffold_00004;4787587;4787746;+
ASTE006068;scaffold_00004;5003140;5003173;+
NA;NA;NA;NA;NA
ASTE006063;scaffold_00004;5067738;5067749;-
ASTE006064;scaffold_00004;5055986;5056040;-
ASTE006069;scaffold_00004;4916386;4916543;+
ASTE006067;scaffold_00004;5021525;5021761;+
ASTE006077;scaffold_00004;4740744;4740873;+
ASTE006073;scaffold_00004;4802779;4803786;-
NA;NA;NA;NA;NA
ASTE006078;scaffold_00004;4728327;4728395;-
ASTE006070;scaffold_00004;4896673;4896720;+
ASTE006075;scaffold_00004;4776330;4776382;+
ASTE006072;scaffold_00004;4828819;4828846;-
NA;NA;NA;NA;NA
ASTE014697;scaffold_00004;4811593;4812068;-
ASTE014698;scaffold_00004;4715044;4715136;+
ASTE007342;scaffold_00028;909721;909961;+
ASTE007343;scaffold_00028;911774;912344;+
ASTE007380;scaffold_00028;1667369;1668097;+
ASTE007346;scaffold_00028;961184;961232;-
ASTE007387;scaffold_00028;1773734;1775269;-
ASTE007406;scaffold_00028;1968457;1968726;-
ASTE015938;scaffold_00073;868745;868876;-
NA;NA;NA;NA;NA
ASTE007411;scaffold_00028;2019406;2019823;-
ASTE007416;scaffold_00070;422672;422702;+
ASTE007419;scaffold_00070;461289;461366;-
ASTE007423;scaffold_00070;674096;675646;-
ASTE007349;scaffold_00028;1038645;1039874;-
ASTE007375;scaffold_00028;1627231;1627984;-
ASTE007396;scaffold_00028;1850886;1850932;-
NA;NA;NA;NA;NA
ASTE007351;scaffold_00028;1116360;1116498;-
NA;NA;NA;NA;NA
ASTE007356;scaffold_00028;1267568;1267706;+
ASTE007364;scaffold_00028;1379781;1379933;-
ASTE007340;scaffold_00028;908409;909074;-
ASTE007345;scaffold_00028;929489;929716;+
ASTE007339;scaffold_00028;897230;897280;+
ASTE007341;scaffold_00028;909796;909961;+
NA;NA;NA;NA;NA
ASTE007376;scaffold_00028;1627231;1627984;-
ASTE007379;scaffold_00028;1662508;1662700;+
ASTE007383;scaffold_00028;1693791;1693958;-
ASTE007381;scaffold_00028;1670990;1671060;-
ASTE007385;scaffold_00028;1740766;1740861;-
ASTE007384;scaffold_00028;1705096;1705344;-
ASTE007389;scaffold_00028;1780542;1780883;-
ASTE007393;scaffold_00028;1815805;1817794;-
ASTE007386;scaffold_00028;1766910;1767192;+
ASTE007388;scaffold_00028;1777197;1777272;+
NA;NA;NA;NA;NA
ASTE007398;scaffold_00028;1873234;1873345;+
ASTE007404;scaffold_00028;1945013;1945164;-
ASTE007402;scaffold_00028;1935679;1936275;-
ASTE007400;scaffold_01053;1376;2824;+
ASTE007401;scaffold_00028;1933496;1933668;+
ASTE007405;scaffold_00028;1961456;1961476;+
ASTE007413;scaffold_00028;2020018;2020078;+
ASTE007414;scaffold_02469;2001;2047;-
NA;NA;NA;NA;NA
ASTE007417;scaffold_00070;429319;429907;-
ASTE007409;scaffold_00028;1990664;1990748;+
ASTE015906;scaffold_00012;2975862;2977017;-
ASTE007410;scaffold_00028;2001773;2001848;-
NA;NA;NA;NA;NA
ASTE007420;scaffold_00070;463660;463769;+
ASTE007422;scaffold_00070;467212;467273;+
ASTE007421;scaffold_00070;465992;466003;-
ASTE007348;scaffold_00028;964143;964601;+
ASTE007352;scaffold_00028;1116360;1116498;-
ASTE007354;scaffold_03529;477;800;+
NA;NA;NA;NA;NA
ASTE007358;scaffold_00028;1326099;1326258;-
ASTE007360;scaffold_00028;1339568;1339878;-
ASTE007363;scaffold_00028;1371749;1371780;+
ASTE007362;scaffold_00028;1370634;1370855;-
ASTE007366;scaffold_00028;1388052;1388266;+
ASTE007365;scaffold_00028;1384091;1385991;-
ASTE015929;scaffold_00126;227146;227449;-
ASTE007370;scaffold_00028;1544444;1544495;+
ASTE007371;scaffold_00028;1558986;1559422;-
ASTE007372;scaffold_00028;1566669;1566732;-
NA;NA;NA;NA;NA
ASTE007338;scaffold_00028;886314;887579;+
ASTE007377;scaffold_00028;1628519;1628620;+
ASTE007378;scaffold_00028;1635054;1635193;-
ASTE007347;scaffold_00028;963109;963348;-
ASTE007390;scaffold_00028;1782366;1782542;+
NA;NA;NA;NA;NA
ASTE007394;scaffold_00028;1819930;1822543;+
ASTE007392;scaffold_00028;1815805;1817794;-
ASTE007395;scaffold_00028;1828197;1828782;+
ASTE007403;scaffold_00028;1941115;1941261;-
NA;NA;NA;NA;NA
ASTE007350;scaffold_00028;1116360;1116498;-
ASTE015886;scaffold_00034;1496667;1497472;+
